Date,User_ID,Start_Timestamp,End_Timestamp,Cash spend,OS,OS_Version,Number_Of_Impression
2020-10-08,4790,1602104244,1602107162,8,iOS,10,6
2021-02-04,9010,1612397421,1612398983,16,iOS,11,6
2020-06-19,5329,1592584601,1592587431,8,Android,9,4
2020-07-10,1632,1594381234,1594383981,20,Android,8,6
2021-03-29,9999,1617013660,1617016554,2,Android,8,1
2020-12-29,1687,1609217982,1609218582,19,Android,8,2
2020-08-30,1716,1598770839,1598774317,6,iOS,12,1
2020-02-18,8459,1582004157,1582007239,17,Android,12,5
2020-10-24,9243,1603519092,1603521983,14,Android,8,6
2020-07-03,4548,1593728151,1593730102,4,iOS,11,4
2021-01-31,5243,1612105621,1612106629,1,iOS,10,6
2020-02-28,489,1582824092,1582826065,16,iOS,12,1
2021-07-04,2229,1625406865,1625408916,19,Android,9,2
2020-07-18,3091,1595074015,1595076439,8,iOS,12,6
2020-11-04,678,1604502037,1604504925,14,iOS,12,6
2021-07-03,2035,1625271030,1625271665,20,iOS,11,1
2021-02-26,2941,1614345756,1614346645,8,Android,10,3
2021-05-19,8284,1621415882,1621418256,3,Android,8,6
2020-11-25,6659,1606323155,1606324608,20,Android,12,2
2021-01-18,293,1610922381,1610923371,5,iOS,11,4
2021-04-12,9180,1618161777,1618163690,16,iOS,12,3
2020-09-30,4416,1601423603,1601425009,2,iOS,12,1
2021-03-20,3441,1616241531,1616242011,9,iOS,10,2
2021-03-30,7705,1617079694,1617082963,17,Android,11,3
2020-06-23,6823,1592878173,1592879238,17,iOS,12,1
2020-05-20,2139,1589940687,1589943072,14,Android,11,1
2020-04-11,2224,1586590542,1586591158,6,Android,9,6
2021-06-26,1192,1624725526,1624728181,6,Android,12,2
2020-12-04,6958,1607096835,1607097840,19,Android,9,4
2021-04-25,3270,1619319659,1619321539,11,Android,8,3
2020-12-01,4637,1606777896,1606780526,1,iOS,12,4
2020-01-10,5037,1578598456,1578601943,1,iOS,11,3
2021-01-02,8935,1609601284,1609601633,11,Android,9,1
2020-08-19,5753,1597814443,1597814981,11,Android,10,1
2020-04-10,6885,1586503396,1586506850,1,Android,9,3
2020-12-24,6550,1608775003,1608778538,10,iOS,12,4
2021-05-22,7978,1621695275,1621697458,10,iOS,12,4
2020-12-14,9274,1607915390,1607916080,10,iOS,10,2
2021-03-18,7072,1616080246,1616081776,18,Android,12,5
2020-09-03,7529,1599119817,1599121121,17,iOS,11,5
2020-02-05,4967,1580881190,1580883026,16,Android,12,2
2021-01-24,2194,1611493868,1611495460,18,Android,11,4
2020-07-21,8670,1595287001,1595290064,12,Android,11,6
2020-02-28,5,1582866573,1582866968,14,Android,12,1
2021-04-23,121,1619138243,1619139375,2,iOS,12,4
2020-05-29,6531,1590743813,1590745659,5,iOS,12,6
2020-05-12,1508,1589269811,1589271660,1,iOS,11,2
2021-01-06,9445,1609932073,1609934469,7,Android,8,3
2021-06-03,2340,1622725037,1622726217,8,Android,9,2
2020-07-31,6960,1596206257,1596207510,3,iOS,10,2
2020-10-17,9230,1602882086,1602883233,8,iOS,11,5
2020-11-22,7009,1606050770,1606054035,14,Android,9,5
2020-12-05,4256,1607171697,1607174763,14,Android,8,2
2020-12-27,479,1609014379,1609017751,6,iOS,11,3
2020-06-28,3322,1593347061,1593347728,14,iOS,12,2
2021-03-31,7183,1617171494,1617174328,4,Android,10,5
2021-05-28,1220,1622207373,1622209139,17,Android,11,3
2021-02-24,2402,1614174597,1614177599,13,iOS,11,4
2020-06-22,1976,1592771642,1592773407,9,Android,11,4
2020-02-10,6636,1581290809,1581292463,5,Android,8,3
2021-03-27,4924,1616786716,1616789302,1,Android,12,6
2021-05-31,3496,1622437523,1622438067,1,iOS,10,3
2020-12-22,45,1608645972,1608646440,2,Android,12,1
2021-01-06,3378,1609934104,1609936411,13,iOS,11,1
2020-08-22,4240,1598108100,1598111391,6,iOS,11,2
2021-03-23,9580,1616500636,1616503881,12,iOS,12,4
2021-06-20,1134,1624192699,1624194583,8,Android,9,2
2021-04-18,7867,1618704824,1618706938,11,Android,9,1
2020-03-23,3071,1584925084,1584926911,3,Android,11,1
2020-06-13,6804,1592043212,1592044293,19,iOS,10,1
2020-08-19,9743,1597802592,1597803216,15,Android,11,2
2020-08-28,3074,1598570404,1598573996,5,Android,12,3
2020-05-18,2243,1589800553,1589803219,6,iOS,10,3
2020-01-05,6676,1578204311,1578205220,3,iOS,10,2
2020-01-14,3079,1578989864,1578993154,9,Android,12,3
2020-05-19,2165,1589821864,1589824132,13,Android,8,4
2021-03-10,9485,1615390658,1615393796,19,Android,9,5
2020-09-02,4412,1599051508,1599053063,4,iOS,10,6
2021-06-14,6666,1623651980,1623654920,9,Android,11,6
2021-06-25,6731,1624635751,1624636139,8,iOS,11,6
2021-06-26,8009,1624718911,1624720629,3,iOS,11,2
2020-01-06,9853,1578254208,1578254787,1,iOS,12,4
2020-02-28,3216,1582875330,1582876707,2,iOS,10,4
2021-07-27,3691,1627403922,1627406386,19,iOS,12,6
2020-11-20,7171,1605821906,1605824292,16,iOS,12,4
2020-12-29,951,1609236968,1609238933,17,iOS,11,5
2021-07-14,7360,1626239817,1626240974,6,Android,12,3
2021-05-13,6719,1620868257,1620870369,8,iOS,12,4
2020-01-03,8565,1578030347,1578031981,1,Android,9,6
2021-01-14,9556,1610637448,1610639309,19,iOS,10,6
2020-08-24,4747,1598287881,1598288641,9,Android,11,5
2021-05-24,7432,1621847757,1621851276,7,Android,8,2
2020-03-08,996,1583679623,1583681339,7,iOS,11,2
2020-05-25,4105,1590411837,1590413549,19,Android,10,4
2020-12-22,1752,1608616707,1608618151,9,iOS,12,4
2020-05-03,9241,1588462519,1588464745,8,iOS,10,3
2020-10-24,5705,1603547413,1603549295,20,iOS,12,4
2021-08-04,4388,1628023546,1628026712,6,iOS,11,3
2020-05-12,5400,1589220072,1589222024,16,iOS,10,2
2021-07-02,5961,1625228451,1625230693,7,iOS,11,6
2021-04-08,8635,1617829341,1617831093,6,iOS,11,4
2020-01-09,1255,1578531172,1578534062,17,Android,9,6
2021-04-13,5439,1618264533,1618267125,4,Android,8,4
2021-07-27,5156,1627358042,1627359074,14,Android,8,1
2020-11-12,995,1605168923,1605169800,6,Android,10,1
2021-04-14,3345,1618387549,1618391086,18,iOS,12,4
2020-04-08,6141,1586280226,1586281723,10,Android,11,1
2020-09-26,552,1601073702,1601074743,19,iOS,12,1
2020-04-17,990,1587129541,1587131306,8,Android,12,1
2020-08-09,3638,1596917130,1596917615,2,Android,12,1
2021-07-24,9913,1627108704,1627111053,13,iOS,10,2
2020-04-24,2123,1587718554,1587721773,12,iOS,10,6
2020-07-06,3880,1594027487,1594030582,4,iOS,11,3
2020-08-23,3120,1598157729,1598159902,15,Android,10,5
2020-01-04,8936,1578130528,1578133268,4,Android,10,3
2021-04-05,6331,1617617031,1617620206,4,iOS,10,5
2020-04-04,2065,1586018058,1586019544,15,iOS,10,6
2020-05-22,1930,1590080718,1590081890,16,iOS,10,3
2021-06-24,6520,1624518309,1624519617,7,Android,9,4
2020-10-15,5098,1602718080,1602720938,12,Android,8,2
2021-07-09,8388,1625813103,1625813824,15,iOS,10,6
2020-04-05,9848,1586037686,1586038507,6,iOS,10,6
2021-06-02,1572,1622615833,1622616780,11,iOS,10,3
2020-02-16,1795,1581810996,1581811673,2,Android,8,6
2020-02-02,5306,1580640739,1580641403,16,iOS,11,5
2020-08-22,8173,1598066488,1598069058,16,iOS,12,4
2021-04-24,9644,1619279534,1619280959,12,Android,8,1
2020-01-12,4868,1578799226,1578800402,20,iOS,12,1
2020-09-12,2126,1599890308,1599891635,13,iOS,11,2
2020-05-31,951,1590914372,1590915988,2,Android,11,3
2021-07-01,2872,1625147429,1625150805,19,Android,11,1
2020-05-07,9183,1588856271,1588858430,12,iOS,10,1
2020-05-27,9185,1590561088,1590563530,3,Android,9,6
2020-11-15,5515,1605386453,1605387426,12,Android,9,2
2020-06-25,6157,1593027816,1593029183,20,iOS,11,5
2020-12-16,8255,1608129036,1608132233,17,Android,9,6
2021-06-09,276,1623224673,1623226282,9,Android,8,4
2020-09-11,8182,1599785017,1599788214,1,Android,9,1
2020-10-01,7931,1601537115,1601538575,10,iOS,11,2
2021-03-12,4296,1615490877,1615492496,14,Android,11,6
2020-01-22,8894,1579636846,1579637482,11,iOS,10,4
2021-06-25,6113,1624612251,1624612639,20,iOS,11,6
2021-04-11,5941,1618133733,1618135927,10,iOS,11,3
2020-09-30,9522,1601440848,1601441307,11,iOS,11,2
2020-04-07,9924,1586261262,1586261886,3,Android,8,1
2021-03-21,3886,1616302191,1616303437,9,iOS,12,3
2020-08-20,1096,1597917474,1597919070,14,Android,12,6
2021-01-18,2321,1610935119,1610936055,17,iOS,11,5
2020-11-28,8605,1606529015,1606530177,12,iOS,12,1
2021-07-19,3800,1626706030,1626706800,4,iOS,12,2
2020-10-21,6283,1603295357,1603297366,11,iOS,12,3
2020-04-09,730,1586388370,1586390529,4,Android,8,3
2021-05-15,1661,1621026121,1621027051,7,Android,11,3
2020-08-21,1331,1598017822,1598018611,7,iOS,10,5
2020-07-03,9059,1593733593,1593736200,7,iOS,10,3
2021-07-17,9620,1626488292,1626490299,15,iOS,10,4
2020-06-06,5627,1591436387,1591437280,18,iOS,12,6
2020-02-24,1361,1582506456,1582507430,19,iOS,12,1
2021-08-05,3928,1628173331,1628174568,12,iOS,11,5
2020-11-26,3681,1606350513,1606352699,2,Android,8,2
2021-07-24,99,1627078275,1627081284,11,Android,8,3
2021-05-26,3397,1622002170,1622002886,19,Android,9,2
2020-04-27,6333,1587942416,1587942859,20,Android,12,5
2021-01-26,5481,1611672214,1611673975,8,iOS,10,6
2020-07-05,2882,1593967695,1593968615,6,iOS,11,3
2021-03-23,8515,1616465680,1616466524,16,Android,9,5
2020-06-19,3390,1592508026,1592510278,6,Android,12,6
2021-05-25,4728,1621905881,1621908668,1,Android,10,3
2020-10-07,6139,1602078796,1602079587,15,iOS,11,2
2020-01-10,7739,1578631148,1578633291,10,Android,11,5
2020-03-22,8539,1584855709,1584856766,3,iOS,11,1
2020-06-02,7279,1591056548,1591059971,19,iOS,10,1
2021-07-30,4226,1627633370,1627635295,4,iOS,10,5
2020-05-19,7633,1589906621,1589907958,12,Android,11,5
2021-01-05,1748,1609792480,1609795464,7,Android,11,5
2021-01-26,2597,1611598877,1611599766,5,Android,9,5
2021-04-24,4116,1619224295,1619225292,14,Android,10,3
2021-07-09,7601,1625843215,1625845780,9,Android,8,1
2020-02-27,9043,1582742959,1582743310,6,Android,12,4
2021-03-19,5995,1616170354,1616173732,12,Android,12,4
2020-04-09,9068,1586383958,1586387004,8,iOS,12,2
2021-05-12,2809,1620830209,1620830592,3,Android,8,2
2020-06-25,6954,1593089243,1593092613,10,iOS,11,4
2021-02-17,748,1613522377,1613522834,15,iOS,12,5
2020-12-06,8944,1607194815,1607198079,1,iOS,10,3
2020-09-30,1447,1601441933,1601444988,9,Android,10,4
2020-06-07,521,1591496130,1591497773,18,Android,11,6
2020-01-23,8829,1579768331,1579771316,19,iOS,10,5
2021-03-02,6947,1614661993,1614663308,2,iOS,12,6
2020-06-13,4056,1592059280,1592060044,1,iOS,10,2
2020-10-09,8403,1602221664,1602223382,9,Android,10,1
2021-07-18,3127,1626545950,1626549411,17,iOS,12,1
2020-12-26,8520,1608952066,1608952973,11,iOS,12,1
2021-02-10,2578,1612961059,1612962175,18,Android,8,2
2021-02-14,7499,1613290944,1613293807,4,iOS,11,4
2021-03-10,385,1615335825,1615336305,14,iOS,10,6
2020-04-03,827,1585873331,1585876876,4,Android,10,2
2021-01-25,2993,1611563576,1611564983,6,Android,10,1
2020-09-04,4294,1599210938,1599211822,11,Android,8,5
2020-10-01,5152,1601491697,1601491998,4,iOS,12,4
2020-10-05,8841,1601914532,1601917765,6,Android,8,4
2020-01-17,4400,1579279476,1579282783,19,iOS,11,6
2021-05-07,1316,1620365468,1620369032,6,Android,10,6
2021-06-20,2089,1624154982,1624156409,20,Android,8,3
2020-12-10,8715,1607556735,1607557350,2,Android,9,3
2021-05-17,1028,1621267928,1621269263,11,Android,12,5
2021-03-23,3679,1616459636,1616461295,10,Android,11,6
2021-01-16,8447,1610752649,1610753455,16,Android,9,4
2021-05-17,2613,1621223958,1621226618,19,Android,11,3
2020-12-11,4673,1607668164,1607671393,12,iOS,11,5
2021-07-02,7913,1625218437,1625219994,1,iOS,10,1
2021-07-07,8530,1625618203,1625621770,11,Android,12,4
2021-06-13,7284,1623559620,1623562902,16,iOS,10,1
2020-10-16,7882,1602816606,1602820111,9,Android,12,3
2021-03-07,2096,1615100901,1615103523,8,iOS,12,6
2020-03-16,204,1584308294,1584310668,20,iOS,11,1
2021-06-18,6694,1623953603,1623956946,11,iOS,10,4
2020-03-10,8444,1583819075,1583819422,12,Android,12,6
2020-12-02,9596,1606876273,1606877249,11,Android,11,4
2021-04-05,8638,1617598018,1617600688,14,Android,10,3
2020-01-31,1843,1580454939,1580457879,11,iOS,10,5
2020-07-20,4056,1595256598,1595259904,6,iOS,11,5
2020-01-06,5455,1578275034,1578276547,3,Android,9,1
2020-08-22,2341,1598043655,1598044357,11,Android,9,2
2021-01-14,548,1610635061,1610636346,3,iOS,12,3
2020-04-30,1676,1588242746,1588246223,20,Android,12,3
2021-05-27,1335,1622081687,1622084230,17,iOS,11,6
2021-07-10,6910,1625885890,1625889053,13,iOS,11,3
2020-01-10,5955,1578673602,1578675136,11,Android,8,6
2020-08-03,8485,1596434039,1596437183,7,iOS,12,6
2021-06-22,7629,1624340495,1624341932,13,iOS,12,2
2021-01-10,9717,1610255023,1610257068,14,Android,9,1
2020-06-30,1178,1593479092,1593482466,20,Android,9,5
2020-12-25,4697,1608902430,1608905235,14,Android,11,1
2020-03-17,3261,1584439841,1584440203,16,iOS,11,4
2020-10-15,4292,1602703371,1602706670,17,Android,11,3
2021-03-31,4434,1617133337,1617134219,3,Android,8,2
2020-06-07,2529,1591467823,1591470477,15,iOS,11,2
2020-01-17,2210,1579238738,1579241908,8,iOS,12,4
2020-01-15,2840,1579067855,1579070164,20,iOS,11,4
2020-04-29,2466,1588166547,1588167288,9,Android,8,3
2021-02-06,7575,1612550217,1612551238,10,Android,9,5
2020-02-15,9228,1581703499,1581706247,5,iOS,11,3
2021-05-08,2724,1620472582,1620473890,5,iOS,12,5
2020-09-19,6314,1600457425,1600460340,2,iOS,11,6
2020-02-21,5796,1582277890,1582280447,6,iOS,12,5
2021-05-01,9795,1619848217,1619850243,8,iOS,10,2
2020-05-30,6912,1590786127,1590787975,18,iOS,12,5
2020-11-30,4853,1606718818,1606722378,18,iOS,10,2
2021-07-12,8459,1626024356,1626027659,5,Android,11,2
2021-04-19,6022,1618817855,1618819255,8,iOS,10,5
2021-07-20,9273,1626772747,1626773690,13,Android,10,3
2021-02-05,4238,1612505599,1612506116,16,iOS,10,4
2021-01-15,8772,1610722452,1610724295,10,Android,10,1
2021-01-15,6378,1610716857,1610720418,7,Android,10,1
2020-08-22,421,1598115091,1598117920,9,Android,12,6
2021-08-03,4119,1627966117,1627967560,7,Android,8,2
2021-04-20,8920,1618937961,1618939008,5,Android,9,4
2020-11-06,1358,1604597504,1604600286,2,iOS,12,3
2020-09-09,7721,1599657662,1599658946,4,iOS,12,1
2021-02-14,1048,1613302586,1613304666,2,iOS,10,6
2020-06-27,8630,1593230946,1593231693,19,Android,9,5
2021-07-09,9323,1625803806,1625805738,17,Android,8,6
2020-08-11,2038,1597104195,1597107536,14,Android,11,2
2020-09-07,6789,1599465851,1599467635,5,Android,11,1
2021-06-14,6244,1623642946,1623644463,1,Android,11,3
2021-01-12,1488,1610436870,1610440361,20,iOS,12,6
2020-10-26,9824,1603677382,1603679709,1,Android,9,1
2021-06-08,7587,1623085290,1623088746,16,iOS,12,2
2020-06-23,1302,1592920450,1592921818,7,iOS,10,5
2020-08-06,6681,1596677399,1596678816,20,Android,11,6
2021-05-18,6968,1621343110,1621344646,15,iOS,12,5
2020-08-24,8575,1598222942,1598225103,1,Android,10,2
2020-01-23,6076,1579774200,1579777301,8,Android,8,5
2020-11-24,1613,1606213493,1606214235,1,Android,8,2
2020-01-08,992,1578417214,1578419570,9,iOS,10,6
2020-01-14,9114,1578983173,1578984953,14,Android,11,2
2021-01-23,1864,1611374252,1611375263,6,Android,11,2
2021-06-15,4018,1623735135,1623738527,5,iOS,12,6
2021-06-11,8411,1623393834,1623394827,20,iOS,10,3
2020-01-17,3931,1579277664,1579278712,9,Android,10,2
2020-01-28,6826,1580205509,1580206559,9,Android,10,5
2020-07-20,1661,1595260320,1595262101,8,Android,10,6
2021-05-31,7086,1622422354,1622423367,13,Android,9,1
2020-09-03,4864,1599131689,1599134678,5,Android,10,4
2020-11-17,7086,1605581080,1605583129,15,Android,11,4
2020-11-12,630,1605165293,1605167413,7,Android,9,3
2020-08-20,9447,1597940096,1597941416,5,Android,8,3
2020-06-14,8297,1592149949,1592153298,3,iOS,10,6
2020-07-24,4684,1595580624,1595583408,6,Android,10,5
2021-05-25,2536,1621913855,1621915784,18,Android,11,4
2020-10-05,2148,1601882080,1601883430,14,iOS,11,6
2021-04-15,837,1618472361,1618475832,9,iOS,10,4
2021-03-30,2745,1617085204,1617086080,14,Android,10,3
2020-01-17,4165,1579218472,1579219875,17,iOS,12,5
2020-08-01,1295,1596270096,1596271505,7,Android,10,3
2020-07-27,4339,1595860857,1595861165,15,iOS,11,6
2020-10-22,7191,1603339267,1603342216,11,Android,11,5
2020-04-26,410,1587883888,1587887304,5,iOS,11,6
2020-09-20,2480,1600597043,1600597757,20,iOS,11,6
2020-05-17,2350,1589672435,1589674988,1,Android,9,1
2021-06-07,8562,1623056279,1623057186,3,Android,8,6
2021-05-15,3383,1621074233,1621077764,6,iOS,12,1
2020-09-16,8355,1600194958,1600196589,2,Android,11,3
2020-08-09,9246,1596987910,1596990259,8,iOS,10,4
2020-02-25,4900,1582637420,1582638500,11,Android,8,2
2020-09-28,871,1601240789,1601241098,19,Android,8,5
2020-01-19,5713,1579410647,1579412880,17,iOS,12,4
2020-10-09,951,1602228723,1602229630,10,Android,9,6
2020-01-10,8091,1578592789,1578594921,11,iOS,11,5
2020-05-25,5083,1590384467,1590386919,6,iOS,12,5
2020-09-18,4602,1600432812,1600435011,16,Android,10,3
2020-03-23,1364,1584951228,1584953815,13,iOS,12,2
2020-02-13,5514,1581592044,1581592541,14,Android,11,6
2021-06-02,2456,1622643366,1622645088,18,iOS,12,5
2020-09-08,9666,1599530731,1599533011,13,Android,12,4
2020-06-08,2694,1591572607,1591574566,10,Android,9,4
2020-03-18,5147,1584484360,1584486185,5,iOS,10,1
2020-02-03,6377,1580736544,1580737292,14,Android,10,6
2021-07-06,5387,1625515762,1625518367,1,iOS,11,1
2020-03-01,9052,1583053524,1583055579,10,iOS,12,1
2020-08-19,747,1597781902,1597783229,9,Android,10,6
2020-08-29,59,1598685963,1598688665,16,iOS,12,6
2021-03-10,5986,1615326266,1615326982,17,iOS,12,1
2020-05-30,7701,1590774098,1590776126,2,iOS,10,2
2021-07-06,4975,1625527629,1625528731,2,iOS,12,6
2020-11-19,8746,1605749739,1605753301,20,iOS,11,4
2020-10-19,5939,1603094414,1603097202,5,Android,11,5
2021-07-05,7373,1625477690,1625479682,14,iOS,12,1
2021-05-30,8542,1622352851,1622354815,2,iOS,10,1
2020-01-13,5826,1578872533,1578874747,12,Android,12,3
2021-04-20,6904,1618929664,1618932176,2,iOS,10,6
2020-02-17,2977,1581916561,1581917637,10,Android,12,6
2021-05-23,5878,1621706915,1621709878,3,Android,8,1
2020-09-13,3926,1599943867,1599944223,11,iOS,11,2
2021-03-12,4016,1615531062,1615531847,3,iOS,12,2
2020-04-20,9362,1587373306,1587376024,4,Android,10,6
2020-03-13,3979,1584079363,1584079667,1,iOS,12,4
2020-01-22,1640,1579661303,1579664498,10,Android,10,5
2020-09-08,6556,1599575718,1599578358,4,Android,8,2
2020-05-01,3307,1588284751,1588285748,1,Android,8,1
2021-03-09,9910,1615276820,1615278559,3,Android,9,6
2020-09-24,9139,1600912156,1600912503,13,Android,10,6
2020-03-22,1015,1584852469,1584853802,1,Android,10,3
2020-07-24,5564,1595562451,1595563238,2,Android,8,2
2021-01-06,9982,1609946652,1609947120,11,iOS,10,1
2021-03-31,1915,1617207320,1617208077,13,iOS,11,2
2020-12-06,5429,1607259609,1607262987,7,Android,10,5
2021-02-20,3838,1613778671,1613780228,2,iOS,12,4
2021-01-05,9110,1609804922,1609807139,1,Android,12,5
2021-05-24,8666,1621830371,1621832342,6,Android,9,3
2020-08-02,8758,1596331533,1596334392,12,iOS,11,2
2020-02-01,57,1580519761,1580521202,10,Android,9,4
2020-07-24,5883,1595538069,1595541562,13,Android,10,6
2020-05-06,5017,1588751138,1588751746,16,iOS,12,3
2021-01-03,9240,1609693159,1609696380,16,Android,11,3
2020-10-08,1104,1602138141,1602140531,19,Android,12,4
2021-07-08,5363,1625733252,1625735116,16,Android,11,4
2020-05-20,1613,1589975939,1589979189,13,iOS,10,4
2020-03-27,9924,1585315305,1585316565,8,iOS,11,3
2020-10-01,4256,1601511013,1601511452,9,Android,10,4
2020-05-30,5401,1590850093,1590852577,1,Android,9,3
2021-03-17,9549,1615940792,1615942535,12,Android,11,6
2020-03-13,5356,1584083428,1584086778,13,Android,10,1
2020-10-17,1951,1602921553,1602923211,2,Android,10,2
2021-03-13,1660,1615636827,1615637621,13,Android,9,5
2021-03-26,7930,1616717737,1616721198,13,iOS,12,6
2020-12-10,2279,1607562492,1607563846,13,Android,12,3
2020-06-21,9559,1592674810,1592677733,16,Android,10,2
2020-04-22,452,1587504124,1587507619,20,iOS,11,2
2021-04-04,3362,1617535964,1617536659,4,iOS,11,2
2020-04-26,8792,1587868012,1587868588,5,Android,10,2
2021-05-25,4945,1621901406,1621903832,16,Android,12,6
2020-05-26,2274,1590447408,1590450777,6,iOS,12,5
2021-04-19,2052,1618770694,1618772297,18,Android,12,5
2020-02-17,6705,1581912683,1581915162,20,iOS,12,2
2020-08-18,9896,1597724917,1597727944,19,Android,10,1
2020-03-05,6470,1583366673,1583369446,7,iOS,12,4
2020-02-10,2145,1581352199,1581354926,13,Android,12,6
2021-07-18,1193,1626563757,1626564522,11,iOS,10,4
2021-02-25,4730,1614251842,1614254850,3,iOS,10,3
2020-02-04,5614,1580789318,1580791403,15,iOS,12,4
2020-01-08,5360,1578501678,1578503927,13,iOS,11,3
2020-12-06,9110,1607213797,1607215028,6,iOS,11,1
2021-07-16,1539,1626434401,1626435714,11,iOS,12,4
2020-02-26,2222,1582727970,1582730386,13,Android,8,3
2021-03-04,9851,1614831909,1614832904,2,Android,9,3
2020-03-15,417,1584211975,1584213406,14,Android,8,2
2020-05-06,3007,1588777771,1588778275,16,iOS,10,6
2021-03-06,597,1615029653,1615031456,8,Android,11,2
2020-05-14,1722,1589436723,1589439062,12,Android,8,2
2021-01-23,274,1611389196,1611392618,6,iOS,11,1
2020-05-14,4238,1589423636,1589424053,20,iOS,12,6
2020-07-28,3450,1595885706,1595888561,15,iOS,11,6
2021-04-25,28,1619319471,1619320493,6,iOS,10,5
2021-05-16,8323,1621132663,1621133409,12,iOS,12,1
2021-03-29,9881,1617013010,1617016258,12,iOS,10,2
2021-06-13,7347,1623530081,1623532040,15,Android,10,1
2021-01-24,9496,1611431340,1611432353,10,iOS,12,6
2020-08-25,7780,1598350533,1598352228,8,Android,9,5
2020-01-31,8373,1580479757,1580482413,14,iOS,12,5
2020-06-10,7707,1591735747,1591736766,19,iOS,11,5
2021-07-18,5911,1626622514,1626623287,16,Android,11,5
2020-10-23,5612,1603398556,1603401355,4,Android,12,5
2020-04-07,7983,1586266092,1586269680,14,iOS,11,5
2021-02-20,8936,1613780798,1613781676,7,iOS,11,6
2020-06-07,9147,1591479410,1591479856,18,Android,12,4
2021-07-22,5986,1626935145,1626935922,12,iOS,11,3
2021-05-19,3864,1621392296,1621393332,16,iOS,11,4
2020-08-08,7994,1596887578,1596890951,3,iOS,11,6
2020-03-14,3103,1584131870,1584132550,19,iOS,10,2
2020-01-25,9227,1579945192,1579947023,1,Android,10,6
2021-05-23,1364,1621728446,1621730858,4,iOS,11,2
